"";"Open.thyssenkruppStock";"High.thyssenkruppStock";"Low.thyssenkruppStock";"Close.thyssenkruppStock";"Volume.thyssenkruppStock";"Open.SalzgitterStock";"High.SalzgitterStock";"Low.SalzgitterStock";"Close.SalzgitterStock";"Volume.SalzgitterStock";"Open.DAXIndex";"High.DAXIndex";"Low.DAXIndex";"Close.DAXIndex";"Volume.DAXIndex"
"131";20,95;21,25;20,505;20,945;3798500;48,365;49,045;47,585;48,67;490400;5896,180176;5997,819824;5848,660156;5992,859863;31101600
"132";21,245;21,45;20,98;21,385;3617600;48,96;49,37;48,4;48,725;316800;6025,859863;6057,52002;6006,680176;6035,660156;30229900
"133";21,55;21,75;21,435;21,59;2481000;49,415;49,72;49,125;49,465;287800;6070,470215;6078,560059;6039,310059;6065,240234;21628200
"134";21,725;21,89;21,48;21,51;2230100;49,9;49,95;49,065;49,135;201700;6079,950195;6119,700195;6061,839844;6077,189941;18200900
"135";21,8;22,37;21,76;22,255;3660800;48,945;50,5;48,9;49,95;328700;6078,339844;6200,819824;6076,140137;6191,129883;31375300
"136";22,4;22,44;21,955;22,18;1997100;50,08;50,28;49,1;49,725;258200;6215,22998;6226,540039;6161,129883;6209,759766;26012000
"137";22,09;22,26;21,625;21,795;2836200;49,325;49,98;48,74;48,99;304900;6187,779785;6248,069824;6127,359863;6149,359863;29997400
"138";21,9;22,225;21,44;21,525;3192200;49,16;49,605;48,025;48,325;354500;6165,509766;6205,439941;6018,640137;6040,27002;45476800
"139";21,6;22,05;21,5;21,685;2551900;48;48,81;47,915;48,16;226100;6034,870117;6083,120117;5993,549805;6009,109863;22770200
"140";21,905;22;21,425;21,97;3005100;48,5;48,82;47,63;48,785;296200;6039,160156;6052,509766;5906,040039;5967,490234;25462800
"141";22,21;22,81;22,21;22,66;4159500;49,17;50,02;49,17;49,51;323400;6011,720215;6060,490234;5976,919922;5990,379883;22813700
"142";22,6;23,26;22,515;23,18;3794200;49,535;51,58;49,19;51,43;518600;5971,089844;6148,129883;5961,859863;6142,149902;30219900
"143";23,125;23,47;23,1;23,375;2879000;51,6;52,09;51,24;51,84;307900;6125,259766;6190,240234;6112,5;6166,339844;25071000
"144";23,545;23,64;23,22;23,615;2223800;52,34;52,44;51,4;52,09;182600;6201,02002;6201,140137;6131,910156;6194,209961;19436700
"145";23,7;23,795;23,285;23,405;3820300;52,5;52,6;51,73;52;228000;6211,100098;6253,640137;6189,959961;6207,310059;40151400
"146";23,295;23,57;23,08;23,345;2386500;51,66;52,28;51,29;51,45;230700;6238,709961;6249,160156;6147,569824;6178,939941;28763900
"147";23,3;23,5;23,035;23,035;2245600;51,16;52,15;50,84;51,43;209400;6202,779785;6243,419922;6124,450195;6134,700195;32422600
"148";23,005;23,14;22,36;22,77;3273700;52,18;52,23;50,78;51,28;343900;6123,410156;6184,540039;6059,189941;6147,970215;30874800
"149";23,05;23,78;23,025;23,7;2956500;51,4;53,58;51,4;53,58;360800;6187,640137;6304,259766;6182,680176;6292,129883;30825200
"150";23,7;24,01;23,58;24,01;3139200;53,72;54,82;53,71;54,24;460200;6279,950195;6310,319824;6265,609863;6307,910156;28444300
"151";23,93;24,195;23,755;23,965;2027900;54,49;56,06;54,21;55,75;476100;6287,649902;6361,669922;6264,279785;6331,330078;29295200
"152";24;24,3;23,9;24,09;2068800;56;56,61;55,52;55,64;357500;6332,819824;6382,560059;6321,379883;6333,580078;33586300
"153";24,15;24,385;23,545;23,745;2971300;55,37;56,41;55,09;55,31;310200;6361,089844;6386,970215;6244,689941;6259,629883;36121700
"154";24,05;24,28;23,845;24,07;1779500;55,79;56,22;55,04;55,07;244200;6326,620117;6356,410156;6318,120117;6351,600098;21595500
