Date;usd
24.07.2000;-0,33163978
25.07.2000;0,832359944
26.07.2000;-0,212766038
27.07.2000;-0,010650194
28.07.2000;-1,210837188
31.07.2000;-0,356391111
01.08.2000;0,226941255
02.08.2000;-1,325674092
03.08.2000;-1,254832095
04.08.2000;0,033224431
07.08.2000;0,585152097
08.08.2000;-0,40814132
09.08.2000;-0,821314273
10.08.2000;0,644303495
11.08.2000;1,11216254
14.08.2000;-1,333867541
15.08.2000;1,180442854
16.08.2000;-0,505773481
17.08.2000;0,746763848
18.08.2000;-0,142333193
21.08.2000;-1,146018052
22.08.2000;-0,566825635
23.08.2000;-0,603691045
24.08.2000;1,048531636
25.08.2000;0,09981701
28.08.2000;-0,155313987
29.08.2000;-0,467394574
30.08.2000;-0,626610532
31.08.2000;-0,033679484
01.09.2000;-0,044923631
04.09.2000;1,094860674
05.09.2000;-1,274757282
06.09.2000;-0,768191758
07.09.2000;-1,623449397
08.09.2000;0,677735062
11.09.2000;-1,452977591
12.09.2000;0,058061896
13.09.2000;0,463285517
14.09.2000;0,449646229
15.09.2000;-0,901323412
18.09.2000;-1,038455164
19.09.2000;0,175777862
20.09.2000;-0,763945656
21.09.2000;0,564707383
22.09.2000;4,204133529
25.09.2000;-1,359024314
26.09.2000;-0,148342584
27.09.2000;1,180624453
28.09.2000;-0,327813553
29.09.2000;-0,761497116
02.10.2000;0,421245002
03.10.2000;-0,444065632
04.10.2000;-0,377294222
05.10.2000;0,63941757
06.10.2000;-0,949175175
09.10.2000;-0,0919646
10.10.2000;0,298576244
11.10.2000;-0,011467232
12.10.2000;-0,829115758
13.10.2000;-0,243126024
16.10.2000;-1,35373756
17.10.2000;-0,176398
18.10.2000;0,340755867
19.10.2000;-1,346265019
20.10.2000;0,486272677
23.10.2000;-0,891324458
24.10.2000;0,107379358
25.10.2000;-0,946511589
26.10.2000;-0,664293765
27.10.2000;0,868731332
30.10.2000;1,880336252
31.10.2000;-0,769280082
01.11.2000;1,614553958
02.11.2000;1,069777644
03.11.2000;0,966858361
06.11.2000;-0,72426597
07.11.2000;-0,927327846
08.11.2000;-0,326607079
09.11.2000;-0,327677297
10.11.2000;1,650816378
13.11.2000;-0,612966703
14.11.2000;-0,430158194
15.11.2000;0,151347604
16.11.2000;-0,314593909
17.11.2000;-0,397568344
20.11.2000;-0,552195493
21.11.2000;-0,165074911
22.11.2000;-0,532451119
23.11.2000;-0,023730423
24.11.2000;0,106742583
27.11.2000;-0,356252603
28.11.2000;1,827126918
29.11.2000;1,034231518
30.11.2000;0,392293107
01.12.2000;0,585569157
04.12.2000;1,961180581
05.12.2000;-1,106230945
06.12.2000;0,204104845
07.12.2000;1,294261497
08.12.2000;-0,538178225
11.12.2000;-1,028315745
12.12.2000;-0,250199152
13.12.2000;-0,387906933
14.12.2000;1,034864526
15.12.2000;1,627146936
18.12.2000;-0,20055717
19.12.2000;-0,705134714
20.12.2000;1,73704401
21.12.2000;0,955788655
22.12.2000;1,022526042
27.12.2000;0,754720564
28.12.2000;-0,268889648
29.12.2000;0,215169529
02.01.2001;1,260161913
03.01.2001;1,129120844
04.01.2001;-0,758377344
05.01.2001;0,915651296
08.01.2001;-0,504149792
09.01.2001;-1,015989266
10.01.2001;0,116940427
11.01.2001;1,172445435
12.01.2001;0,230753197
15.01.2001;-1,23334721
16.01.2001;-0,169851421
17.01.2001;-0,170140407
18.01.2001;0,085106388
19.01.2001;-0,04254414
22.01.2001;-1,177113645
23.01.2001;1,251554016
24.01.2001;-1,208506233
25.01.2001;-1,605240543
26.01.2001;0,892571508
29.01.2001;-0,380001543
30.01.2001;0,043501904
31.01.2001;1,038408465
01.02.2001;1,208635495
02.02.2001;0,010630947
05.02.2001;0,191164034
06.02.2001;-1,098853538
07.02.2001;0,032176758
08.02.2001;-1,132392796
09.02.2001;0,075893103
12.02.2001;0,65892758
13.02.2001;-0,14006359
14.02.2001;-1,051329252
15.02.2001;-0,963440778
16.02.2001;0,252705732
19.02.2001;1,091356461
20.02.2001;-1,5643266
21.02.2001;0,834436111
22.02.2001;-0,988910378
23.02.2001;0,088300226
26.02.2001;0,451318945
27.02.2001;0,63499228
28.02.2001;0,923367595
01.03.2001;0,226818696
02.03.2001;1,009025306
05.03.2001;-0,621386186
06.03.2001;-0,279810772
07.03.2001;0,301302283
08.03.2001;0,053708579
09.03.2001;0,48208353
12.03.2001;-0,912562026
13.03.2001;-0,75782543
14.03.2001;-0,217580591
15.03.2001;-1,29345221
16.03.2001;-1,299224316
19.03.2001;0,546175353
20.03.2001;0,266429998
21.03.2001;-0,333148559
22.03.2001;-1,129829122
23.03.2001;0,370557945
26.03.2001;0,145601191
27.03.2001;0,19008224
28.03.2001;-1,033020639
29.03.2001;-0,225988797
30.03.2001;-0,090538711
02.04.2001;-0,681665898
03.04.2001;0,828749706
04.04.2001;2,092149924
05.04.2001;-0,132949277
06.04.2001;-0,890874489
09.04.2001;0,868699081
10.04.2001;-0,812786304
11.04.2001;-1,180784031
12.04.2001;0,101758164
17.04.2001;-0,657598742
18.04.2001;-0,14798796
19.04.2001;0,556661477
20.04.2001;1,818640155
23.04.2001;0,144516728
24.04.2001;-0,322670655
25.04.2001;-0,290178775
26.04.2001;0,734969901
27.04.2001;0,110889344
30.04.2001;-1,642586794
02.05.2001;0,348647938
03.05.2001;-0,044918586
04.05.2001;0,403542751
07.05.2001;-0,223989342
08.05.2001;-0,596009636
09.05.2001;-0,440853028
10.05.2001;0,260225298
11.05.2001;-0,873863587
14.05.2001;-0,319671468
15.05.2001;0,262662174
16.05.2001;0,749918297
17.05.2001;-0,215309732
18.05.2001;-0,432015224
21.05.2001;-0,262392484
22.05.2001;-0,791333908
23.05.2001;-1,158090534
24.05.2001;0,221071706
25.05.2001;-0,151206775
28.05.2001;-0,081513833
29.05.2001;-0,373483161
