,date,year,month,weekday,day,ARTICLE,AMOUNT,WOCHENMARKT,BOCHUM_TOTAL,WAHLEN,WEIHNACHTSMARKT,ZELTFESTIVAL,KEMNADE_IN_FLAMMER,HEIMSPIEL_VFL_BOCHUM,holiday,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,tdiff
851,4/3/2016,2016,4,6,3,Käsebrötchen,54,0,0,0,0,0,0,0,0,15.1,12.3,18.9,1.3,0,170,12.2,38.5,1010.6,222,4.1
853,4/4/2016,2016,4,0,4,Käsebrötchen,37,0,0,0,0,0,0,0,0,13.6,10.3,16.8,0.6,0,176,13.7,44.6,1007,192,-1.5
855,4/5/2016,2016,4,1,5,Käsebrötchen,39,1,0,0,0,0,0,0,0,10.1,7.5,11.5,9.7,0,193,8.3,25.6,1007.7,30,-3.5
857,4/6/2016,2016,4,2,6,Käsebrötchen,28,0,0,0,0,0,0,0,0,9.4,6.3,13,0.7,0,228,18.4,53.6,1009.7,102,-0.7
859,4/7/2016,2016,4,3,7,Käsebrötchen,1,1,0,0,0,0,0,0,0,7.1,3.8,11.1,0.9,0,234,16.2,47.9,1010,348,-2.3
861,4/8/2016,2016,4,4,8,Käsebrötchen,38,0,0,0,0,0,0,0,0,6.8,3.3,10.8,0.3,0,207,6.5,20.2,1012.3,96,-0.3
863,4/9/2016,2016,4,5,9,Käsebrötchen,34,0,0,0,0,0,0,1,0,10.1,4.7,14.8,0,0,173,9.7,28.8,1008.9,660,3.3
865,4/10/2016,2016,4,6,10,Käsebrötchen,60,0,0,0,0,0,0,0,0,11.6,8.3,16.5,0,0,143,10.8,30.6,1011.3,330,1.5
867,4/11/2016,2016,4,0,11,Käsebrötchen,30,0,0,0,0,0,0,0,0,13.2,7.3,18.9,0.2,0,96,15.1,40.7,1011.4,750,1.6
869,4/12/2016,2016,4,1,12,Käsebrötchen,33,1,0,0,0,0,0,0,0,12.4,6.9,18.1,3,0,203,9,58.3,1009.8,480,-0.8
871,4/13/2016,2016,4,2,13,Käsebrötchen,27,0,0,0,0,0,0,0,0,9.4,5.7,12.6,0.1,0,108,5.4,17.3,1009.6,0,-3
873,4/14/2016,2016,4,3,14,Käsebrötchen,28,1,0,0,0,0,0,0,0,11.5,6.5,16,3.2,0,223,7.2,31.7,1011.9,678,2.1
875,4/15/2016,2016,4,4,15,Käsebrötchen,27,0,0,0,0,0,0,0,0,11.7,8.4,15.5,0,0,205,15.8,54,1003.6,294,0.2
877,4/16/2016,2016,4,5,16,Käsebrötchen,32,0,0,0,0,0,0,0,0,9.7,5.1,14.2,6.9,0,225,14.4,44.6,1002.2,138,-2
879,4/17/2016,2016,4,6,17,Käsebrötchen,53,0,0,0,0,0,0,0,0,6.5,4,10,0.4,0,290,7.9,36,1012.8,270,-3.2
881,4/18/2016,2016,4,0,18,Käsebrötchen,35,0,0,0,0,0,0,0,0,7.5,1.4,11.9,0.1,0,247,10.4,36.7,1021.8,444,1
883,4/19/2016,2016,4,1,19,Käsebrötchen,38,1,0,0,0,0,0,0,0,9.5,5,13.9,0,0,277,10.8,34.2,1026.6,144,2
885,4/20/2016,2016,4,2,20,Käsebrötchen,36,0,0,0,0,0,0,0,0,8.7,2.8,13.9,0,0,41,10.4,28.1,1030.8,774,-0.8
887,4/21/2016,2016,4,3,21,Käsebrötchen,56,1,0,0,0,0,0,0,0,11.6,3.9,18,0,0,53,11.5,33.8,1024.4,762,2.9
889,4/22/2016,2016,4,4,22,Käsebrötchen,39,0,0,0,0,0,0,1,0,9.8,5.7,13.9,0,0,35,15.1,36.7,1019.4,468,-1.8
891,4/23/2016,2016,4,5,23,Käsebrötchen,29,0,0,0,0,0,0,0,0,6.2,2.1,9.5,0.1,0,7,14.4,43.9,1015.1,228,-3.6
893,4/24/2016,2016,4,6,24,Käsebrötchen,59,0,0,0,0,0,0,0,0,3.4,0.9,8.1,1.1,0,281,10.4,40.7,1014.6,312,-2.8
895,4/25/2016,2016,4,0,25,Käsebrötchen,27,0,0,0,0,0,0,0,0,3.6,0.4,8,8.8,0,236,14,50.8,1008.1,120,0.2
897,4/26/2016,2016,4,1,26,Käsebrötchen,31,1,0,0,0,0,0,0,0,2.9,0.7,7,6.3,0,239,17.6,63,1000.8,168,-0.7
899,4/27/2016,2016,4,2,27,Käsebrötchen,32,0,0,0,0,0,0,0,0,3.8,1.4,8.4,11.9,0,252,15.5,42.8,1006.1,102,0.9
901,4/28/2016,2016,4,3,28,Käsebrötchen,60,1,0,0,0,0,0,0,0,4.8,1.5,9.7,1.7,0,235,9.7,39.2,1015.1,288,1
903,4/29/2016,2016,4,4,29,Käsebrötchen,35,0,0,0,0,0,0,0,0,6.8,3,10.7,8.1,0,199,12.2,45.4,1015.1,186,2
905,4/30/2016,2016,4,5,30,Käsebrötchen,30,0,0,0,0,0,0,0,0,6.6,5,8,2.3,0,60,7.2,36,1019.7,6,-0.2
907,5/1/2016,2016,5,6,1,Käsebrötchen,49,0,0,0,0,0,0,0,1,9.1,5.1,14.4,0,0,14,16.9,36.7,1026.1,498,2.5
909,5/2/2016,2016,5,0,2,Käsebrötchen,44,0,0,0,0,0,0,0,0,13,5.2,18.8,4.1,0,210,7.2,21.2,1023.4,732,3.9
911,5/3/2016,2016,5,1,3,Käsebrötchen,40,1,0,0,0,0,0,0,0,10.8,6.1,14.1,0,0,300,12.2,39.2,1023.1,438,-2.2
913,5/4/2016,2016,5,2,4,Käsebrötchen,38,0,0,0,0,0,0,0,0,10,4.1,14.6,0,0,54,8.3,25.2,1029.3,816,-0.8
915,5/5/2016,2016,5,3,5,Käsebrötchen,69,0,0,0,0,0,0,0,1,13.9,7.3,19.8,0,0,110,12.6,36.7,1023.9,852,3.9
917,5/6/2016,2016,5,4,6,Käsebrötchen,29,0,0,0,0,0,0,0,0,17.2,8.8,23.2,0,0,126,14,36.4,1014.8,774,3.3
919,5/7/2016,2016,5,5,7,Käsebrötchen,32,0,0,0,0,0,0,0,0,20.2,14.3,25.3,0,0,125,12.6,39.2,1011.3,750,3
921,5/8/2016,2016,5,6,8,Käsebrötchen,39,0,0,0,0,0,0,1,0,20.3,15.4,24.7,0,0,108,16.9,43.2,1012.3,858,0.1
923,5/9/2016,2016,5,0,9,Käsebrötchen,36,0,0,0,0,0,0,0,0,19.5,13.8,24.9,0,0,96,15.5,40.3,1013.1,732,-0.8
925,5/10/2016,2016,5,1,10,Käsebrötchen,25,1,0,0,0,0,0,0,0,18.5,15,23,0,0,133,7.6,22.3,1009.9,132,-1
927,5/11/2016,2016,5,2,11,Käsebrötchen,34,0,0,0,0,0,0,0,0,19.4,13.2,24.8,0,0,103,11.2,36.7,1005.1,570,0.9
929,5/12/2016,2016,5,3,12,Käsebrötchen,34,1,0,0,0,0,0,0,0,19.2,13.6,24.3,0,0,68,15.8,46.8,1000.3,852,-0.2
931,5/13/2016,2016,5,4,13,Käsebrötchen,33,0,0,0,0,0,1,0,0,17.1,9,22.2,0,0,32,16.6,41,1003.6,798,-2.1
933,5/14/2016,2016,5,5,14,Käsebrötchen,38,0,0,0,0,0,1,0,0,8.2,5.4,11.6,0.3,0,335,15.8,55.4,1013.7,132,-8.9
935,5/15/2016,2016,5,6,15,Käsebrötchen,57,0,0,0,0,0,1,0,0,7.6,4.9,11.8,1.1,0,289,10.4,38.9,1019.6,180,-0.6
937,5/16/2016,2016,5,0,16,Käsebrötchen,62,0,0,0,0,0,1,0,1,8.4,4.5,12.7,0.2,0,284,7.2,28.4,1020.4,126,0.8
939,5/17/2016,2016,5,1,17,Käsebrötchen,32,1,0,0,0,0,0,0,0,12,7.3,16.5,0,0,233,10.1,35.3,1017.3,102,3.6
941,5/18/2016,2016,5,2,18,Käsebrötchen,30,0,0,0,0,0,0,0,0,13.8,10.3,18.1,0.2,0,182,9.7,38.2,1009.9,120,1.8
943,5/19/2016,2016,5,3,19,Käsebrötchen,28,1,0,0,0,0,0,0,0,13.2,9.9,17.7,0.5,0,225,8.3,24.8,1011.7,342,-0.6
945,5/20/2016,2016,5,4,20,Käsebrötchen,27,0,0,0,0,0,0,0,0,13.3,9.8,17.3,0.4,0,216,11.9,34.9,1017.9,78,0.1
947,5/21/2016,2016,5,5,21,Käsebrötchen,35,0,0,0,0,0,0,0,0,17.6,11.5,22.2,0,0,177,13.7,36.7,1015.1,558,4.3
949,5/22/2016,2016,5,6,22,Käsebrötchen,57,0,0,0,0,0,0,0,0,17.6,14.2,21.3,6.3,0,185,12.6,36.4,1008.3,168,0
951,5/23/2016,2016,5,0,23,Käsebrötchen,35,0,0,0,0,0,0,0,0,11.8,9.6,14.2,11.3,0,223,13.3,42.5,1011.1,0,-5.8
953,5/24/2016,2016,5,1,24,Käsebrötchen,37,1,0,0,0,0,0,0,0,10.2,8.9,12.7,0,0,332,11.5,31.3,1016.8,6,-1.6
955,5/25/2016,2016,5,2,25,Käsebrötchen,35,0,0,0,0,0,0,0,0,12.4,8.9,17.2,0,0,247,5.8,20.2,1016,186,2.2
957,5/26/2016,2016,5,3,26,Käsebrötchen,110,0,0,0,0,0,0,0,1,16,9.3,21.4,0,0,172,6.5,28.8,1016.4,510,3.6
959,5/27/2016,2016,5,4,27,Käsebrötchen,29,0,0,0,0,0,0,0,0,17.2,13.2,21.5,0,0,58,9.7,25.6,1015.6,324,1.2
961,5/28/2016,2016,5,5,28,Käsebrötchen,37,0,0,0,0,0,0,0,0,18.7,12.9,23.7,0,0,33,6.8,23,1012.6,360,1.5
963,5/29/2016,2016,5,6,29,Käsebrötchen,54,0,0,0,0,0,0,0,0,17.2,14.2,21.3,7.3,0,56,14.4,37.8,1007.5,144,-1.5
965,5/30/2016,2016,5,0,30,Käsebrötchen,31,0,0,0,0,0,0,0,0,16.6,15,20.8,14.9,0,16,11.2,39.2,1003.9,54,-0.6
967,5/31/2016,2016,5,1,31,Käsebrötchen,32,1,0,0,0,0,0,0,0,17.3,14.1,20.8,11,0,137,12.6,36.7,1010,312,0.7
969,6/1/2016,2016,6,2,1,Käsebrötchen,31,0,0,0,0,0,0,0,0,17.2,14.2,21,13.1,0,280,7.6,30.2,1012.4,18,-0.1
971,6/2/2016,2016,6,3,2,Käsebrötchen,35,1,0,0,0,0,0,0,0,18.2,14.8,23.2,6.5,0,38,8.6,33.1,1010.8,318,1
973,6/3/2016,2016,6,4,3,Käsebrötchen,33,0,0,0,0,0,0,0,0,18.5,15.4,23.1,0,0,2,7.2,24.1,1012.1,198,0.3
975,6/4/2016,2016,6,5,4,Käsebrötchen,36,0,0,0,0,0,0,0,0,19.7,15.6,25.7,0.1,0,325,8.6,38.2,1013.3,480,1.2
977,6/5/2016,2016,6,6,5,Käsebrötchen,47,0,0,0,0,0,0,0,0,20.6,14.3,27,13,0,336,7.6,70.2,1017.3,618,0.9
979,6/6/2016,2016,6,0,6,Käsebrötchen,37,0,0,0,0,0,0,0,0,21.2,16.2,25.2,0,0,32,9.7,25.2,1020.4,588,0.6
981,6/7/2016,2016,6,1,7,Käsebrötchen,30,1,0,0,0,0,0,0,0,18.9,14.2,27.3,22.8,0,75,7.2,41.8,1021.7,432,-2.3
983,6/8/2016,2016,6,2,8,Käsebrötchen,36,0,0,0,0,0,0,0,0,17.4,12.7,22.2,0,0,346,9.4,29.5,1020.8,714,-1.5
985,6/9/2016,2016,6,3,9,Käsebrötchen,28,1,0,0,0,0,0,0,0,15.1,11.1,20.2,0,0,352,8.3,21.2,1019.5,528,-2.3
987,6/10/2016,2016,6,4,10,Käsebrötchen,38,0,0,0,0,0,0,0,0,16.2,10.3,21.2,0,0,343,6.8,20.2,1014.2,684,1.1
989,6/11/2016,2016,6,5,11,Käsebrötchen,36,0,0,0,0,0,0,0,0,17.2,13.9,21.5,0,0,66,8.3,20.5,1011,288,1
991,6/12/2016,2016,6,6,12,Käsebrötchen,59,0,0,0,0,0,0,0,0,15.9,14,19,6.4,0,210,5.4,16.9,1008.7,0,-1.3
993,6/13/2016,2016,6,0,13,Käsebrötchen,38,0,0,0,0,0,0,0,0,15.1,13.8,19.7,7.1,0,222,9.4,29.2,1002.3,102,-0.8
995,6/14/2016,2016,6,1,14,Käsebrötchen,35,1,0,0,0,0,0,0,0,15.4,13,19.4,0.2,0,221,11.5,28.8,999.8,180,0.3
997,6/15/2016,2016,6,2,15,Käsebrötchen,38,0,0,0,0,0,0,0,0,13.9,11.3,18.2,2.9,0,195,7.9,27.4,1000.3,150,-1.5
999,6/16/2016,2016,6,3,16,Käsebrötchen,35,1,0,0,0,0,0,0,0,14.7,10.6,20.7,10.9,0,171,6.5,28.4,1003,516,0.8
1001,6/17/2016,2016,6,4,17,Käsebrötchen,31,0,0,0,0,0,0,0,0,14,12.1,18.9,4.8,0,218,8.6,34.6,1006.9,84,-0.7
1003,6/18/2016,2016,6,5,18,Käsebrötchen,36,0,0,0,0,0,0,0,0,14,12.3,18.2,18.2,0,234,10.4,53.3,1016.1,126,0
1005,6/19/2016,2016,6,6,19,Käsebrötchen,66,0,0,0,0,0,0,0,0,13.9,10.8,18.2,0,0,275,7.9,26.3,1023.9,318,-0.1
1007,6/20/2016,2016,6,0,20,Käsebrötchen,39,0,0,0,0,0,0,0,0,15.2,10.7,19.8,11.3,0,188,13.7,40.3,1019,288,1.3
1009,6/21/2016,2016,6,1,21,Käsebrötchen,26,1,0,0,0,0,0,0,0,16.9,14.9,20.6,3.4,0,208,9,26.6,1019.5,30,1.7
1011,6/22/2016,2016,6,2,22,Käsebrötchen,33,0,0,0,0,0,0,0,0,19.8,15.9,24.2,0,0,200,8.3,20.5,1022.6,216,2.9
1013,6/23/2016,2016,6,3,23,Käsebrötchen,32,1,0,0,0,0,0,0,0,24.8,17.3,32.2,3.6,0,156,11.5,45.4,1017.9,684,5
1015,6/24/2016,2016,6,4,24,Käsebrötchen,25,0,0,0,0,0,0,0,0,21.2,18.4,24.5,1.3,0,327,9,26.3,1017.5,132,-3.6
1017,6/25/2016,2016,6,5,25,Käsebrötchen,39,0,0,0,0,0,0,0,0,15.4,12.1,18.4,35.2,0,314,9.4,28.8,1016,18,-5.8
1019,6/26/2016,2016,6,6,26,Käsebrötchen,65,0,0,0,0,0,0,0,0,14.1,11.5,19.5,6.6,0,223,10.8,33.1,1018,384,-1.3
1021,6/27/2016,2016,6,0,27,Käsebrötchen,35,0,0,0,0,0,0,0,0,14.3,11.2,16.7,5.4,0,217,11.2,37.4,1018.9,180,0.2
1023,6/28/2016,2016,6,1,28,Käsebrötchen,33,1,0,0,0,0,0,0,0,17.2,12.2,22.4,10.9,0,183,7.2,23,1016.5,420,2.9
1025,6/29/2016,2016,6,2,29,Käsebrötchen,37,0,0,0,0,0,0,0,0,16.7,13.4,20.6,0.8,0,219,14.4,47.2,1012.2,384,-0.5
1027,6/30/2016,2016,6,3,30,Käsebrötchen,47,1,0,0,0,0,0,0,0,16.9,14.2,19.8,0.2,0,207,11.5,33.8,1012.8,18,0.2
1029,7/1/2016,2016,7,4,1,Käsebrötchen,35,0,0,0,0,0,0,0,0,18.4,16,21.4,7.8,0,207,14.4,45,1012.9,30,1.5
1031,7/2/2016,2016,7,5,2,Käsebrötchen,34,0,0,0,0,0,0,0,0,14.5,11.2,18.8,0.7,0,232,14.8,45,1014.9,402,-3.9
1033,7/3/2016,2016,7,6,3,Käsebrötchen,39,0,0,0,0,0,0,0,0,14.5,10.7,18.8,4,0,225,11.2,37.8,1020.3,390,0
1035,7/4/2016,2016,7,0,4,Käsebrötchen,39,0,0,0,0,0,0,0,0,17.1,11.8,20.9,0,0,187,7.2,23.8,1020.2,492,2.6
1037,7/5/2016,2016,7,1,5,Käsebrötchen,32,1,0,0,0,0,0,0,0,16.4,10.9,20.6,0.4,0,236,12.6,43.2,1016.4,180,-0.7
1039,7/6/2016,2016,7,2,6,Käsebrötchen,36,0,0,0,0,0,0,0,0,15.2,10,20.7,0,0,276,9.4,29.9,1021.2,510,-1.2
1041,7/7/2016,2016,7,3,7,Käsebrötchen,38,1,0,0,0,0,0,0,0,16.8,9.9,22.3,0,0,182,5.8,22,1021.4,618,1.6
1043,7/8/2016,2016,7,4,8,Käsebrötchen,34,0,0,0,0,0,0,0,0,19.5,16.5,23.4,0,0,213,11.5,41.4,1016.5,174,2.7
1045,7/9/2016,2016,7,5,9,Käsebrötchen,39,0,0,0,0,0,0,0,0,19.7,16.5,24.3,0,0,237,11.2,29.9,1019,336,0.2
1047,7/10/2016,2016,7,6,10,Käsebrötchen,74,0,0,0,0,0,0,0,0,23.9,17.6,29.9,0,0,203,11.5,36,1011.7,648,4.2
1049,7/11/2016,2016,7,0,11,Käsebrötchen,42,0,0,0,0,0,0,0,0,19.7,16.5,23.9,0,0,244,14.4,46.8,1010.8,366,-4.2
1051,7/12/2016,2016,7,1,12,Käsebrötchen,39,1,0,0,0,0,0,0,0,17.5,13.3,22.2,0,0,233,11.5,31.3,1012.9,402,-2.2
1053,7/13/2016,2016,7,2,13,Käsebrötchen,34,0,0,0,0,0,0,0,0,14.7,11.4,18.3,0.8,0,240,10.1,28.4,1014.8,312,-2.8
1055,7/14/2016,2016,7,3,14,Käsebrötchen,49,1,1,0,0,0,0,0,0,14.1,9.3,18.8,0,0,307,10.4,37.8,1020.4,420,-0.6
1057,7/15/2016,2016,7,4,15,Käsebrötchen,43,0,1,0,0,0,0,0,0,15.9,10.4,20.6,0,0,271,8.3,31.3,1025.4,372,1.8
1059,7/16/2016,2016,7,5,16,Käsebrötchen,33,0,1,0,0,0,0,0,0,17.8,13.7,22,0,0,218,8.3,23.8,1024.8,12,1.9
1061,7/17/2016,2016,7,6,17,Käsebrötchen,75,0,1,0,0,0,0,0,0,20.1,16.8,23.2,0.3,0,256,9.4,27.7,1021.8,114,2.3
1063,7/18/2016,2016,7,0,18,Käsebrötchen,45,0,0,0,0,0,0,0,0,21.5,14.2,27.6,0,0,288,7.6,26.6,1021.9,696,1.4
1065,7/19/2016,2016,7,1,19,Käsebrötchen,21,1,0,0,0,0,0,0,0,24.6,17.4,30.1,0,0,109,7.2,19.1,1020.5,900,3.1
1067,7/20/2016,2016,7,2,20,Käsebrötchen,39,0,0,0,0,0,0,0,0,26.5,18.8,33.5,0,0,126,13,39.2,1014,732,1.9
1069,7/21/2016,2016,7,3,21,Käsebrötchen,37,1,0,0,0,0,0,0,0,24.2,19.7,29.2,0,0,241,8.3,24.5,1014.7,564,-2.3
1071,7/22/2016,2016,7,4,22,Käsebrötchen,30,0,0,0,0,0,0,0,0,22.6,19.4,26.7,0,0,34,9.7,33.5,1016.6,504,-1.6
1073,7/23/2016,2016,7,5,23,Käsebrötchen,33,0,0,0,0,0,0,0,0,21.5,18,24.5,0,0,66,8.3,20.2,1018.3,120,-1.1
1075,7/24/2016,2016,7,6,24,Käsebrötchen,66,0,0,0,0,0,0,0,0,22.3,16.1,27.3,0,0,0,5.8,20.2,1019.3,600,0.8
1077,7/25/2016,2016,7,0,25,Käsebrötchen,32,0,0,0,0,0,0,0,0,21.8,17.7,25.8,0,0,262,7.9,25.9,1019.4,306,-0.5
1079,7/26/2016,2016,7,1,26,Käsebrötchen,36,1,0,0,0,0,0,0,0,19.4,16.4,22.8,0,0,296,5.4,14.4,1020.6,150,-2.4
1081,7/27/2016,2016,7,2,27,Käsebrötchen,31,0,0,0,0,0,0,0,0,19.1,15.7,23.7,0.4,0,221,11.2,35.6,1017.6,396,-0.3
1083,7/28/2016,2016,7,3,28,Käsebrötchen,37,1,0,0,0,0,0,0,0,18.9,16.4,22.3,1.3,0,203,9.4,29.9,1015.3,120,-0.2
1085,7/29/2016,2016,7,4,29,Käsebrötchen,30,0,0,0,0,0,0,0,0,18.3,14.8,22.9,0.2,0,227,10.8,34.2,1013.1,96,-0.6
1087,7/30/2016,2016,7,5,30,Käsebrötchen,36,0,0,0,0,0,0,0,0,18.5,15.7,23.9,0,0,240,9.4,30.2,1013.3,282,0.2
1089,7/31/2016,2016,7,6,31,Käsebrötchen,53,0,0,0,0,0,0,0,0,16.3,12.6,19.7,12.3,0,258,6.1,42.1,1015,96,-2.2
1091,8/1/2016,2016,8,0,1,Käsebrötchen,34,0,0,0,0,0,0,0,0,15.8,11.3,22.3,8.3,0,243,7.2,39.2,1019,228,-0.5
1093,8/2/2016,2016,8,1,2,Käsebrötchen,31,1,0,0,0,0,0,0,0,15.3,12.9,17.1,12.7,0,211,10.8,40,1015.1,0,-0.5
1095,8/3/2016,2016,8,2,3,Käsebrötchen,37,0,0,0,0,0,0,0,0,17.8,16.4,18.6,10.3,0,216,17.3,41,1011.8,0,2.5
1097,8/4/2016,2016,8,3,4,Käsebrötchen,33,1,0,0,0,0,0,0,0,16.8,15.2,18.8,0,0,225,14,36,1012.1,102,-1
1099,8/5/2016,2016,8,4,5,Käsebrötchen,31,0,0,0,0,0,0,0,0,16.4,13.4,20.9,2,0,232,9.7,41,1018.7,210,-0.4
1101,8/6/2016,2016,8,5,6,Käsebrötchen,32,0,0,0,0,0,0,1,0,16.7,11.8,22.1,0.2,0,245,8.6,36,1026.2,228,0.3
1103,8/7/2016,2016,8,6,7,Käsebrötchen,55,0,0,0,0,0,0,0,0,19.2,10.7,24.8,0,0,221,11.5,36.4,1025.7,570,2.5
1105,8/8/2016,2016,8,0,8,Käsebrötchen,38,0,0,0,0,0,0,0,0,17.5,12.9,20.6,1.1,0,244,13.3,48.6,1020.3,228,-1.7
1107,8/9/2016,2016,8,1,9,Käsebrötchen,35,1,0,0,0,0,0,0,0,13.9,10.2,18.2,5.2,0,275,7.6,36.4,1021.9,312,-3.6
1109,8/10/2016,2016,8,2,10,Käsebrötchen,31,0,0,0,0,0,0,0,0,12.2,8.5,15.8,1.8,0,269,7.6,36.7,1022.5,318,-1.7
1111,8/11/2016,2016,8,3,11,Käsebrötchen,33,1,0,0,0,0,0,0,0,11.5,7.2,16,10.8,0,208,11.9,47.5,1022.7,0,-0.7
1113,8/12/2016,2016,8,4,12,Käsebrötchen,26,0,0,0,0,0,0,0,0,17.4,14.1,21.3,0.6,0,237,11.9,31,1022.9,18,5.9
1115,8/13/2016,2016,8,5,13,Käsebrötchen,30,0,0,0,0,0,0,0,0,18.4,15.6,21.5,0,0,237,11.2,36.7,1022.6,414,1
1117,8/14/2016,2016,8,6,14,Käsebrötchen,43,0,0,0,0,0,0,0,0,17.9,14.3,22.3,0,0,307,6.8,21.2,1023.8,216,-0.5
1119,8/15/2016,2016,8,0,15,Käsebrötchen,35,0,0,0,0,0,0,0,0,17.4,13.4,21.9,0,0,45,11.2,27.4,1023.9,600,-0.5
1121,8/16/2016,2016,8,1,16,Käsebrötchen,37,1,0,0,0,0,0,0,0,17.1,11.6,22.3,0,0,52,12.2,29.2,1019,786,-0.3
1123,8/17/2016,2016,8,2,17,Käsebrötchen,30,0,0,0,0,0,0,0,0,18.3,11.9,23.8,0,0,69,11.9,25.9,1014.3,822,1.2
1125,8/18/2016,2016,8,3,18,Käsebrötchen,32,1,0,0,0,0,0,0,0,19.5,11.9,25.6,0,0,60,8.6,23.8,1010,786,1.2
1127,8/19/2016,2016,8,4,19,Käsebrötchen,29,0,0,0,0,1,0,0,0,19.7,12,25.8,3.1,0,136,7.2,25.9,1010.1,522,0.2
1129,8/20/2016,2016,8,5,20,Käsebrötchen,35,0,0,0,0,1,0,0,0,18.2,14,22.8,3.7,0,220,11.9,44.3,1012.4,312,-1.5
1131,8/21/2016,2016,8,6,21,Käsebrötchen,55,0,0,0,0,1,0,0,0,15.7,13.7,18.8,6.4,0,216,13.7,42.1,1018.1,90,-2.5
1133,8/22/2016,2016,8,0,22,Käsebrötchen,45,0,0,0,0,1,0,0,0,16.5,13.7,21.2,0.9,0,213,10.4,25.6,1025.5,96,0.8
1135,8/23/2016,2016,8,1,23,Käsebrötchen,31,1,0,0,0,1,0,0,0,21.1,14.4,27.4,0,0,178,7.2,18.4,1026.3,792,4.6
1137,8/24/2016,2016,8,2,24,Käsebrötchen,31,0,0,0,0,1,0,0,0,23.9,17.9,30,0,0,132,11.5,32.8,1021.8,792,2.8
1139,8/25/2016,2016,8,3,25,Käsebrötchen,28,1,0,0,0,1,0,0,0,26.4,21.3,31.1,0,0,150,14,38.5,1016.5,792,2.5
1141,8/26/2016,2016,8,4,26,Käsebrötchen,37,0,0,0,0,1,0,1,0,26.3,21.6,31.8,0,0,218,10.1,27,1016.3,744,-0.1
1143,8/27/2016,2016,8,5,27,Käsebrötchen,27,0,0,0,0,1,0,0,0,24.4,18.3,30.5,1.4,0,60,13.3,55.8,1017.2,654,-1.9
1145,8/28/2016,2016,8,6,28,Käsebrötchen,61,0,0,0,0,1,0,0,0,23.6,17.3,30.1,0,0,213,10.8,42.1,1013.9,522,-0.8
1147,8/29/2016,2016,8,0,29,Käsebrötchen,49,0,0,0,0,1,0,0,0,17.5,14.4,21.3,2.3,0,269,9,24.5,1020.1,168,-6.1
1149,8/30/2016,2016,8,1,30,Käsebrötchen,43,1,0,0,0,1,0,0,0,18.1,12.4,23.2,0,0,77,8.3,22.3,1025.5,756,0.6
1151,8/31/2016,2016,8,2,31,Käsebrötchen,35,0,0,0,0,1,0,0,0,19.6,13.1,25.5,0,0,173,7.6,29.2,1021.1,744,1.5
1153,9/1/2016,2016,9,3,1,Käsebrötchen,25,1,0,0,0,1,0,0,0,18.6,13.4,23.3,0,0,245,7.9,25.6,1022.5,378,-1
1155,9/2/2016,2016,9,4,2,Käsebrötchen,33,0,0,0,0,1,0,0,0,18.7,13.9,23.4,0,0,215,9.7,36,1020.6,546,0.1
1157,9/3/2016,2016,9,5,3,Käsebrötchen,34,0,0,0,0,1,0,0,0,18.4,14.4,23.1,1.2,0,232,8.6,27.4,1017.6,252,-0.3
1159,9/4/2016,2016,9,6,4,Käsebrötchen,59,0,0,0,0,1,0,0,0,17.7,14.6,20.7,19.6,0,228,14.8,45.7,1012.4,78,-0.7
1161,9/5/2016,2016,9,0,5,Käsebrötchen,25,0,0,0,0,0,0,0,0,16.9,14.4,21.1,0,0,271,7.6,28.4,1020,156,-0.8
1163,9/6/2016,2016,9,1,6,Käsebrötchen,29,1,0,0,0,0,0,0,0,19.3,14,24.9,0,0,172,6.5,24.1,1025.9,732,2.4
1165,9/7/2016,2016,9,2,7,Käsebrötchen,25,0,0,0,0,0,0,0,0,20.8,15,25.9,0,0,104,7.6,23.4,1020.4,738,1.5
1167,9/8/2016,2016,9,3,8,Käsebrötchen,14,1,0,0,0,0,0,0,0,21.7,14.5,27,0,0,185,10.4,30.6,1012.8,720,0.9
1169,9/9/2016,2016,9,4,9,Käsebrötchen,31,0,0,0,0,0,0,0,0,18,13.9,22.8,0,0,252,6.5,21.2,1018.5,480,-3.7
1171,9/10/2016,2016,9,5,10,Käsebrötchen,34,0,0,0,0,0,0,0,0,20.2,13.5,26.4,0,0,14,4,20.9,1016.5,696,2.2
1173,9/11/2016,2016,9,6,11,Käsebrötchen,54,0,0,0,0,0,0,0,0,19.8,16.4,23.8,0,0,189,5.8,16.9,1018.1,264,-0.4
1175,9/12/2016,2016,9,0,12,Käsebrötchen,34,0,0,0,0,0,0,0,0,23.2,16.1,29.9,0,0,135,5.4,16.9,1016.8,642,3.4
1177,9/13/2016,2016,9,1,13,Käsebrötchen,32,1,0,0,0,0,0,0,0,25.5,19.7,31.6,0,0,123,7.9,23.8,1014.1,702,2.3
1179,9/14/2016,2016,9,2,14,Käsebrötchen,25,0,0,0,0,0,0,0,0,25.9,19.8,31.4,0,0,116,10.1,31.7,1012.8,696,0.4
1181,9/15/2016,2016,9,3,15,Käsebrötchen,34,1,0,0,0,0,0,0,0,23.4,16.1,30.2,1.6,0,115,12.6,37.4,1010.8,624,-2.5
1183,9/16/2016,2016,9,4,16,Käsebrötchen,27,0,0,0,0,0,0,1,0,17.4,15.1,21.1,0,0,203,9,32.8,1013.6,210,-6
